SP Name,Service Name,Tariff,Short Code,Opt-In,Opt-Out,Out Of Balance,Charged Units,Total Revenue,Date
MobMerchant,Pocket Library,300 IQD,4054,0,0,68,50,"15,000.00 IQD",8/31/2024
MobMerchant,Travel Buddy 360,300 IQD,4054,0,2,106,70,"21,000.00 IQD",8/31/2024
Window,Arab Cooking,300 IQD,4054,0,1,3,0,0.00 IQD,8/31/2024
Window,FIFA Tutorials,300 IQD,4054,0,0,1,1,300.00 IQD,8/31/2024
Window,FIFA Tutorials - GBOnline,300 IQD,4054,0,4,265,313,"93,900.00 IQD",8/31/2024
Window,FIFA Tutorials - SAOnline,300 IQD,4054,1,7,598,637,"191,100.00 IQD",8/31/2024
Window,FIFA Tutorials - SOnline,300 IQD,4054,0,0,19,14,"4,200.00 IQD",8/31/2024
Window,GameZilla-GBOnline,300 IQD,4054,0,5,355,426,"127,800.00 IQD",8/31/2024
Window,GameZilla-GOnline,300 IQD,4054,0,1,54,58,"17,400.00 IQD",8/31/2024
Window,GameZilla-SAOnline,300 IQD,4054,1,5,692,840,"252,000.00 IQD",8/31/2024
Window,GameZilla-SOnline,300 IQD,4054,1,1,140,187,"56,100.00 IQD",8/31/2024
Window,Herbals Medicine - GBOnline,300 IQD,4054,0,2,109,124,"37,200.00 IQD",8/31/2024
Window,Herbals Medicine - SAOnline,300 IQD,4054,0,4,636,698,"209,400.00 IQD",8/31/2024
Window,Herbals Medicine - SOnline,300 IQD,4054,0,0,7,9,"2,700.00 IQD",8/31/2024
Window,Valorant Heros,300 IQD,4054,0,0,1,1,300.00 IQD,8/31/2024
Window,Valorant Heros - GBOnline,300 IQD,4054,0,2,219,240,"72,000.00 IQD",8/31/2024
Window,Valorant Heros - SAOnline,300 IQD,4054,0,4,480,573,"171,900.00 IQD",8/31/2024
Window,Valorant Heros - SOnline,300 IQD,4054,0,1,18,27,"8,100.00 IQD",8/31/2024
Window,Video Games Tutorial,300 IQD,4054,0,0,12,4,"1,200.00 IQD",8/31/2024
Window,Video Games Tutorial - GBOnline,300 IQD,4054,0,5,255,301,"90,300.00 IQD",8/31/2024
Window,Video Games Tutorial - Gonline,300 IQD,4054,0,2,66,84,"25,200.00 IQD",8/31/2024
Window,Video Games Tutorial - SAOnline,300 IQD,4054,0,8,577,658,"197,400.00 IQD",8/31/2024
Window,Video Games Tutorial - Sonline,300 IQD,4054,1,5,214,260,"78,000.00 IQD",8/31/2024
Servas,Gaming portal,300 IQD,4054,0,0,4,0,0.00 IQD,8/31/2024
Servas,Women portal,300 IQD,4054,0,0,1,0,0.00 IQD,8/31/2024
BlackNGreen,MobiBattle-Subscription,300 IQD,4054,0,3,450,892,"267,600.00 IQD",8/31/2024
Dharam,Footballer Stars Club,300 IQD,4054,0,6,473,490,"147,000.00 IQD",8/31/2024
Dharam,Quiz Champ,300 IQD,4054,0,1,99,105,"31,500.00 IQD",8/31/2024
Gamester,TinyMinies,300 IQD,4054,0,1,55,92,"27,600.00 IQD",8/31/2024
Qadisha,books shelf,300 IQD,4054,0,11,1094,1145,"343,500.00 IQD",8/31/2024
Costar,Magic Games,300 IQD,4054,0,5,254,400,"120,000.00 IQD",8/31/2024
Megamaynd,High Fives,300 IQD,4054,0,2,119,260,"78,000.00 IQD",8/31/2024
Forest,Plat-Games,300 IQD,4054,0,2,0,0,0.00 IQD,8/31/2024
Forest,Plat-Games,300 IQD,4054,0,0,81,97,"29,100.00 IQD",8/31/2024
Cookies,Play and Play,400 IQD,4054,0,0,223,171,"68,400.00 IQD",8/31/2024
Hyve,Fantasy5,400 IQD,4054,0,1,17,10,"4,000.00 IQD",8/31/2024
Grand Technology,Games Zone,300 IQD,4054,0,1,146,242,"72,600.00 IQD",8/31/2024
window-tech,Cooking World,300 IQD,4068,0,0,3,0,0.00 IQD,8/31/2024
window-tech,Cooking World - Sonline,300 IQD,4068,0,0,7,0,0.00 IQD,8/31/2024
window-tech,Excel Tips & Tricks,300 IQD,4068,0,0,24,0,0.00 IQD,8/31/2024
window-tech,Excel Tips & Tricks - GBOnline,300 IQD,4068,0,0,1,0,0.00 IQD,8/31/2024
window-tech,Health & Beauty,300 IQD,4068,0,0,3,0,0.00 IQD,8/31/2024
window-tech,Health & Beauty - GOnline,300 IQD,4068,0,0,1,0,0.00 IQD,8/31/2024
window-tech,Health & Beauty - SAOnline,300 IQD,4068,0,0,1,0,0.00 IQD,8/31/2024
window-tech,Online Games - SAOnline,300 IQD,4068,0,0,1,0,0.00 IQD,8/31/2024
SVMobi,game station,300 IQD,4054,0,0,0,0,0.00 IQD,8/31/2024
MobMerchant,Pocket Library,300 IQD,4054,0,1,0,0,0.00 IQD,8/30/2024
MobMerchant,Travel Buddy 360,300 IQD,4054,0,2,0,0,0.00 IQD,8/30/2024
Window,FIFA Tutorials - GBOnline,300 IQD,4054,0,3,0,0,0.00 IQD,8/30/2024
Window,FIFA Tutorials - SAOnline,300 IQD,4054,0,4,0,0,0.00 IQD,8/30/2024
Window,GameZilla-GBOnline,300 IQD,4054,0,3,0,0,0.00 IQD,8/30/2024
Window,GameZilla-SAOnline,300 IQD,4054,0,7,0,0,0.00 IQD,8/30/2024
Window,GameZilla-SOnline,300 IQD,4054,0,1,0,0,0.00 IQD,8/30/2024
Window,Herbals Medicine - SAOnline,300 IQD,4054,0,8,0,0,0.00 IQD,8/30/2024
Window,Valorant Heros - GBOnline,300 IQD,4054,0,4,0,0,0.00 IQD,8/30/2024
Window,Valorant Heros - SAOnline,300 IQD,4054,0,6,0,0,0.00 IQD,8/30/2024
Window,Video Games Tutorial - GBOnline,300 IQD,4054,0,7,0,0,0.00 IQD,8/30/2024
Window,Video Games Tutorial - SAOnline,300 IQD,4054,0,8,0,0,0.00 IQD,8/30/2024
Window,Video Games Tutorial - Sonline,300 IQD,4054,0,1,0,0,0.00 IQD,8/30/2024
Servas,Gaming portal,300 IQD,4054,0,1,0,0,0.00 IQD,8/30/2024
BlackNGreen,MobiBattle-Subscription,300 IQD,4054,0,2,0,0,0.00 IQD,8/30/2024
Dharam,Footballer Stars Club,300 IQD,4054,0,8,0,0,0.00 IQD,8/30/2024
Gamester,TinyMinies,300 IQD,4054,0,1,0,0,0.00 IQD,8/30/2024
Qadisha,books shelf,300 IQD,4054,0,12,0,0,0.00 IQD,8/30/2024
Costar,Magic Games,300 IQD,4054,0,1,0,0,0.00 IQD,8/30/2024
Megamaynd,High Fives,300 IQD,4054,0,3,0,0,0.00 IQD,8/30/2024
Forest,Plat-Games,300 IQD,4054,0,3,0,0,0.00 IQD,8/30/2024
Cookies,Play and Play,400 IQD,4054,0,3,0,0,0.00 IQD,8/30/2024
Grand Technology,Games Zone,300 IQD,4054,0,3,0,0,0.00 IQD,8/30/2024
MobMerchant,Pocket Library,300 IQD,4054,0,2,67,52,"15,600.00 IQD",8/29/2024
MobMerchant,Travel Buddy 360,300 IQD,4054,1,2,108,71,"21,300.00 IQD",8/29/2024
Window,Arab Cooking,300 IQD,4054,0,0,4,0,0.00 IQD,8/29/2024
Window,FIFA Tutorials,300 IQD,4054,2,2,2,0,0.00 IQD,8/29/2024
Window,FIFA Tutorials - GBOnline,300 IQD,4054,0,3,272,314,"94,200.00 IQD",8/29/2024
Window,FIFA Tutorials - SAOnline,300 IQD,4054,0,6,643,599,"179,700.00 IQD",8/29/2024
Window,FIFA Tutorials - SOnline,300 IQD,4054,0,0,16,17,"5,100.00 IQD",8/29/2024
Window,GameZilla,300 IQD,4054,2,2,0,0,0.00 IQD,8/29/2024
Window,GameZilla-GBOnline,300 IQD,4054,0,4,364,426,"127,800.00 IQD",8/29/2024
Window,GameZilla-GOnline,300 IQD,4054,0,0,58,55,"16,500.00 IQD",8/29/2024
Window,GameZilla-SAOnline,300 IQD,4054,0,10,740,802,"240,600.00 IQD",8/29/2024
Window,GameZilla-SOnline,300 IQD,4054,0,4,157,172,"51,600.00 IQD",8/29/2024
Window,Herbals Medicine,300 IQD,4054,2,2,0,0,0.00 IQD,8/29/2024
Window,Herbals Medicine - GBOnline,300 IQD,4054,0,2,118,116,"34,800.00 IQD",8/29/2024
Window,Herbals Medicine - SAOnline,300 IQD,4054,1,8,0,0,0.00 IQD,8/29/2024
Window,Herbals Medicine - SOnline,300 IQD,4054,0,0,10,6,"1,800.00 IQD",8/29/2024
Window,Valorant Heros,300 IQD,4054,2,2,2,0,0.00 IQD,8/29/2024
Window,Valorant Heros - GBOnline,300 IQD,4054,0,3,213,252,"75,600.00 IQD",8/29/2024
Window,Valorant Heros - SAOnline,300 IQD,4054,0,11,0,0,0.00 IQD,8/29/2024
Window,Valorant Heros - SOnline,300 IQD,4054,0,0,23,23,"6,900.00 IQD",8/29/2024
Window,Video Games Tutorial,300 IQD,4054,2,3,12,4,"1,200.00 IQD",8/29/2024
Window,Video Games Tutorial - GBOnline,300 IQD,4054,0,4,249,320,"96,000.00 IQD",8/29/2024
Window,Video Games Tutorial - Gonline,300 IQD,4054,0,2,72,80,"24,000.00 IQD",8/29/2024
Window,Video Games Tutorial - SAOnline,300 IQD,4054,0,4,624,627,"188,100.00 IQD",8/29/2024
Window,Video Games Tutorial - Sonline,300 IQD,4054,0,3,223,255,"76,500.00 IQD",8/29/2024
Servas,Gaming portal,300 IQD,4054,0,0,3,2,600.00 IQD,8/29/2024
Servas,Women portal,300 IQD,4054,0,0,1,0,0.00 IQD,8/29/2024
BlackNGreen,MobiBattle-Subscription,300 IQD,4054,3,6,482,864,"259,200.00 IQD",8/29/2024
Dharam,Footballer Stars Club,300 IQD,4054,0,10,487,491,"147,300.00 IQD",8/29/2024
Dharam,Quiz Champ,300 IQD,4054,0,0,109,95,"28,500.00 IQD",8/29/2024
Gamester,TinyMinies,300 IQD,4054,0,1,57,93,"27,900.00 IQD",8/29/2024
Qadisha,books shelf,300 IQD,4054,2,14,1150,1114,"334,200.00 IQD",8/29/2024
Costar,Magic Games,300 IQD,4054,0,1,271,389,"116,700.00 IQD",8/29/2024
Megamaynd,High Fives,300 IQD,4054,1,4,0,0,0.00 IQD,8/29/2024
Forest,Plat-Games,300 IQD,4054,0,1,80,101,"30,300.00 IQD",8/29/2024
Cookies,Play and Play,400 IQD,4054,2,5,240,159,"63,600.00 IQD",8/29/2024
Hyve,Fantasy5,400 IQD,4054,0,0,15,13,"5,200.00 IQD",8/29/2024
Grand Technology,Games Zone,300 IQD,4054,0,4,170,223,"66,900.00 IQD",8/29/2024
window-tech,Cooking World,300 IQD,4068,0,0,3,0,0.00 IQD,8/29/2024
window-tech,Cooking World - Sonline,300 IQD,4068,0,0,6,1,300.00 IQD,8/29/2024
window-tech,Excel Tips & Tricks,300 IQD,4068,2,1,18,6,"1,800.00 IQD",8/29/2024
window-tech,Excel Tips & Tricks - GBOnline,300 IQD,4068,0,0,1,0,0.00 IQD,8/29/2024
window-tech,Excel Tips & Tricks - Sonline,300 IQD,4068,1,1,0,0,0.00 IQD,8/29/2024
window-tech,Health & Beauty,300 IQD,4068,0,0,2,1,300.00 IQD,8/29/2024
window-tech,Health & Beauty - GOnline,300 IQD,4068,0,0,1,0,0.00 IQD,8/29/2024
window-tech,Health & Beauty - SAOnline,300 IQD,4068,0,0,1,0,0.00 IQD,8/29/2024
window-tech,Online Games - SAOnline,300 IQD,4068,0,0,1,0,0.00 IQD,8/29/2024
MobMerchant,Pocket Library,300 IQD,4054,2,2,72,49,"14,700.00 IQD",8/28/2024
MobMerchant,Travel Buddy 360,300 IQD,4054,5,5,0,0,0.00 IQD,8/28/2024
Window,Arab Cooking,300 IQD,4054,0,0,4,0,0.00 IQD,8/28/2024
Window,FIFA Tutorials,300 IQD,4054,1,1,2,0,0.00 IQD,8/28/2024
Window,FIFA Tutorials - GBOnline,300 IQD,4054,1,2,284,305,"91,500.00 IQD",8/28/2024
Window,FIFA Tutorials - SAOnline,300 IQD,4054,1,6,634,615,"184,500.00 IQD",8/28/2024
Window,FIFA Tutorials - SOnline,300 IQD,4054,3,3,16,17,"5,100.00 IQD",8/28/2024
Window,GameZilla,300 IQD,4054,2,2,0,0,0.00 IQD,8/28/2024
Window,GameZilla-GBOnline,300 IQD,4054,1,2,382,410,"123,000.00 IQD",8/28/2024
Window,GameZilla-GOnline,300 IQD,4054,2,2,49,64,"19,200.00 IQD",8/28/2024
Window,GameZilla-SAOnline,300 IQD,4054,1,8,742,810,"243,000.00 IQD",8/28/2024
Window,GameZilla-SOnline,300 IQD,4054,3,4,164,168,"50,400.00 IQD",8/28/2024
Window,Herbals Medicine,300 IQD,4054,1,1,0,0,0.00 IQD,8/28/2024
Window,Herbals Medicine - GBOnline,300 IQD,4054,1,4,122,117,"35,100.00 IQD",8/28/2024
Window,Herbals Medicine - SAOnline,300 IQD,4054,2,10,1348,1350,"405,000.00 IQD",8/28/2024
Window,Herbals Medicine - SOnline,300 IQD,4054,1,1,12,4,"1,200.00 IQD",8/28/2024
Window,Valorant Heros,300 IQD,4054,1,1,2,0,0.00 IQD,8/28/2024
Window,Valorant Heros - GBOnline,300 IQD,4054,1,1,219,249,"74,700.00 IQD",8/28/2024
Window,Valorant Heros - GOnline,300 IQD,4054,5,5,0,1,300.00 IQD,8/28/2024
Window,Valorant Heros - SAOnline,300 IQD,4054,1,10,1009,1133,"339,900.00 IQD",8/28/2024
Window,Valorant Heros - SOnline,300 IQD,4054,2,2,23,23,"6,900.00 IQD",8/28/2024
Window,Video Games Tutorial,300 IQD,4054,2,2,12,5,"1,500.00 IQD",8/28/2024
Window,Video Games Tutorial - GBOnline,300 IQD,4054,2,7,271,302,"90,600.00 IQD",8/28/2024
Window,Video Games Tutorial - Gonline,300 IQD,4054,1,0,73,81,"24,300.00 IQD",8/28/2024
Window,Video Games Tutorial - SAOnline,300 IQD,4054,1,8,626,631,"189,300.00 IQD",8/28/2024
Window,Video Games Tutorial - Sonline,300 IQD,4054,1,4,219,265,"79,500.00 IQD",8/28/2024
Servas,Gaming portal,300 IQD,4054,2,2,3,2,600.00 IQD,8/28/2024
Servas,Women portal,300 IQD,4054,0,0,0,1,300.00 IQD,8/28/2024
BlackNGreen,MobiBattle-Subscription,300 IQD,4054,2,10,488,866,"259,800.00 IQD",8/28/2024
Dharam,Footballer Stars Club,300 IQD,4054,2,6,0,0,0.00 IQD,8/28/2024
Dharam,Quiz Champ,300 IQD,4054,2,3,107,97,"29,100.00 IQD",8/28/2024
Gamester,TinyMinies,300 IQD,4054,2,3,56,94,"28,200.00 IQD",8/28/2024
Qadisha,books shelf,300 IQD,4054,2,14,1177,1098,"329,400.00 IQD",8/28/2024
Costar,Magic Games,300 IQD,4054,2,5,276,387,"116,100.00 IQD",8/28/2024
Megamaynd,High Fives,300 IQD,4054,2,7,278,493,"147,900.00 IQD",8/28/2024
Forest,Plat-Games,300 IQD,4054,2,2,89,93,"27,900.00 IQD",8/28/2024
Cookies,Play and Play,400 IQD,4054,2,5,236,165,"66,000.00 IQD",8/28/2024
Hyve,Fantasy5,400 IQD,4054,2,3,17,12,"4,800.00 IQD",8/28/2024
Grand Technology,Games Zone,300 IQD,4054,2,5,174,224,"67,200.00 IQD",8/28/2024
Dr. jobs,Dr Jobs,300 IQD,4054,2,2,0,0,0.00 IQD,8/28/2024
window-tech,Cooking World,300 IQD,4068,0,0,2,1,300.00 IQD,8/28/2024
window-tech,Cooking World - Sonline,300 IQD,4068,1,1,5,2,600.00 IQD,8/28/2024
window-tech,Excel Tips & Tricks,300 IQD,4068,0,0,18,5,"1,500.00 IQD",8/28/2024
window-tech,Excel Tips & Tricks - GBOnline,300 IQD,4068,0,0,1,0,0.00 IQD,8/28/2024
window-tech,Health & Beauty,300 IQD,4068,0,0,2,1,300.00 IQD,8/28/2024
window-tech,Health & Beauty - GOnline,300 IQD,4068,0,0,1,0,0.00 IQD,8/28/2024
window-tech,Health & Beauty - SAOnline,300 IQD,4068,0,0,1,0,0.00 IQD,8/28/2024
window-tech,Online Games - SAOnline,300 IQD,4068,0,0,0,1,300.00 IQD,8/28/2024
window-tech,Plant World - GBOnline,300 IQD,4068,0,0,0,0,0.00 IQD,8/28/2024
SVMobi,game station,300 IQD,4054,2,2,0,0,0.00 IQD,8/28/2024
Servas,Kids portal,300 IQD,4054,2,2,0,0,0.00 IQD,8/28/2024
Window,FIFA Tutorials - GOnline,300 IQD,4054,2,2,0,0,0.00 IQD,8/28/2024
Window,Herbals Medicine - GOnline,300 IQD,4054,2,2,0,0,0.00 IQD,8/28/2024
TE Global,Diety,300 IQD,4054,2,2,0,0,0.00 IQD,8/28/2024
Khalaspay-DCB,YallaPlay,300 IQD,4054,2,2,0,0,0.00 IQD,8/28/2024
Mobile arts,Apps Factory,300 IQD,4054,2,2,0,0,0.00 IQD,8/28/2024
MobMerchant,AppyGames,300 IQD,4054,2,2,0,0,0.00 IQD,8/28/2024
MobMerchant,Pocket Library,300 IQD,4054,0,1,69,52,"15,600.00 IQD",8/27/2024
MobMerchant,Travel Buddy 360,300 IQD,4054,1,1,110,72,"21,600.00 IQD",8/27/2024
Window,Arab Cooking,300 IQD,4054,0,0,4,0,0.00 IQD,8/27/2024
Window,FIFA Tutorials,300 IQD,4054,0,0,2,0,0.00 IQD,8/27/2024
Window,FIFA Tutorials - GBOnline,300 IQD,4054,0,5,298,295,"88,500.00 IQD",8/27/2024
Window,FIFA Tutorials - SAOnline,300 IQD,4054,1,11,674,584,"175,200.00 IQD",8/27/2024
Window,FIFA Tutorials - SOnline,300 IQD,4054,0,0,16,17,"5,100.00 IQD",8/27/2024
Window,GameZilla-GBOnline,300 IQD,4054,0,2,420,375,"112,500.00 IQD",8/27/2024
Window,GameZilla-GOnline,300 IQD,4054,0,0,57,56,"16,800.00 IQD",8/27/2024
Window,GameZilla-SAOnline,300 IQD,4054,0,9,0,0,0.00 IQD,8/27/2024
Window,GameZilla-SOnline,300 IQD,4054,0,0,179,154,"46,200.00 IQD",8/27/2024
Window,Herbals Medicine - GBOnline,300 IQD,4054,0,4,119,122,"36,600.00 IQD",8/27/2024
Window,Herbals Medicine - SAOnline,300 IQD,4054,0,9,682,677,"203,100.00 IQD",8/27/2024
Window,Herbals Medicine - SOnline,300 IQD,4054,0,1,12,4,"1,200.00 IQD",8/27/2024
Window,Valorant Heros,300 IQD,4054,0,0,2,0,0.00 IQD,8/27/2024
Window,Valorant Heros - GBOnline,300 IQD,4054,0,1,217,252,"75,600.00 IQD",8/27/2024
Window,Valorant Heros - SAOnline,300 IQD,4054,0,3,540,542,"162,600.00 IQD",8/27/2024
Window,Valorant Heros - SOnline,300 IQD,4054,0,0,24,22,"6,600.00 IQD",8/27/2024
Window,Video Games Tutorial,300 IQD,4054,1,2,0,0,0.00 IQD,8/27/2024
Window,Video Games Tutorial - GBOnline,300 IQD,4054,0,7,283,295,"88,500.00 IQD",8/27/2024
